image,object_id,object_type,gt_width_mm,gt_height_mm
eval_094.jpg,1,battery_aa,50.5,14.5
eval_094.jpg,2,book,25,25
eval_095.jpg,1,battery_aa,50.5,14.5
eval_095.jpg,2,book,43,43
eval_096.jpg,1,battery_aa,50.5,14.5
eval_096.jpg,2,book,25,25
eval_097.jpg,1,battery_aa,50.5,14.5
eval_097.jpg,2,book,66,66
eval_098.jpg,1,battery_aa,50.5,14.5
eval_098.jpg,2,book,79,79
eval_099.jpg,1,battery_aa,50.5,14.5
eval_099.jpg,2,book,46,22
eval_100.jpg,1,battery_aa,50.5,14.5
eval_100.jpg,2,book,89,19
eval_101.jpg,1,bill_10000,148,68
eval_101.jpg,2,book,165,52
eval_102.jpg,1,bill_10000,148,68
eval_102.jpg,2,book,158,65
eval_103.jpg,1,bill_10000,148,68
eval_103.jpg,2,book,51,51
eval_104.jpg,1,bill_10000,148,68
eval_104.jpg,2,book,70,52
eval_105.jpg,1,bill_10000,148,68
eval_105.jpg,2,book,96,49
eval_106.jpg,1,bill_10000,148,68
eval_106.jpg,2,book,129,25
eval_107.jpg,1,bill_10000,148,68
eval_107.jpg,2,book,149,82
eval_108.jpg,1,bill_10000,148,68
eval_108.jpg,2,book,132,45
eval_109.jpg,1,bill_10000,148,68
eval_109.jpg,2,book,100,70
eval_110.jpg,1,bill_10000,148,68
eval_110.jpg,2,book,70,62
eval_111.jpg,1,bill_10000,148,68
eval_111.jpg,2,book,98,60
eval_112.jpg,1,bill_10000,148,68
eval_112.jpg,2,book,162,84
eval_113.jpg,1,bill_10000,148,68
eval_113.jpg,2,book,61,60
eval_114.jpg,1,bill_10000,148,68
eval_114.jpg,2,book,133,90
eval_115.jpg,1,bill_10000,148,68
eval_115.jpg,2,book,100,100
eval_116.jpg,1,bill_10000,148,68
eval_116.jpg,2,book,100,80
eval_117.jpg,1,bill_10000,148,68
eval_117.jpg,2,book,55,41
eval_118.jpg,1,bill_10000,148,68
eval_118.jpg,2,book,117,63
eval_119.jpg,1,bill_10000,148,68
eval_119.jpg,2,book,117,37
eval_120.jpg,1,bill_10000,148,68
eval_120.jpg,2,book,158,64
eval_121.jpg,1,bill_10000,148,68
eval_121.jpg,2,book,58,54
eval_122.jpg,1,bill_10000,148,68
eval_122.jpg,2,book,55,51
eval_123.jpg,1,bill_10000,148,68
eval_123.jpg,2,book,78,70
eval_124.jpg,1,bill_10000,148,68
eval_124.jpg,2,book,109,19
eval_125.jpg,1,bill_10000,148,68
eval_125.jpg,2,book,123,34
eval_126.jpg,1,bill_10000,148,68
eval_126.jpg,2,book,89,45
eval_127.jpg,1,bill_10000,148,68
eval_127.jpg,2,book,142,94
eval_128.jpg,1,bill_10000,148,68
eval_128.jpg,2,book,124,43
eval_129.jpg,1,bill_10000,148,68
eval_129.jpg,2,book,65,63
eval_130.jpg,1,bill_10000,148,68
eval_130.jpg,2,book,82,80
eval_131.jpg,1,bill_10000,148,68
eval_131.jpg,2,book,174,29
eval_132.jpg,1,bill_10000,148,68
eval_132.jpg,2,book,117,46
eval_133.jpg,1,bill_10000,148,68
eval_133.jpg,2,book,154,46
eval_134.jpg,1,bill_10000,148,68
eval_134.jpg,2,book,95,48
eval_135.jpg,1,bill_10000,148,68
eval_135.jpg,2,book,116,23
eval_136.jpg,1,bill_10000,148,68
eval_136.jpg,2,book,77,77
eval_137.jpg,1,bill_10000,148,68
eval_137.jpg,2,book,60,40
eval_138.jpg,1,bill_10000,148,68
eval_138.jpg,2,book,100,76
eval_139.jpg,1,bill_10000,148,68
eval_139.jpg,2,book,168,99
eval_140.jpg,1,bill_10000,148,68
eval_140.jpg,2,book,31,21
eval_141.jpg,1,bill_10000,148,68
eval_141.jpg,2,book,35,21
eval_142.jpg,1,bill_10000,148,68
eval_142.jpg,2,book,49,20
eval_143.jpg,1,bill_10000,148,68
eval_143.jpg,2,book,42,42
eval_144.jpg,1,bill_10000,148,68
eval_144.jpg,2,book,93,41
eval_145.jpg,1,bill_10000,148,68
eval_145.jpg,2,book,71,39
eval_146.jpg,1,bill_10000,148,68
eval_146.jpg,2,book,89,14
eval_147.jpg,1,bill_10000,148,68
eval_147.jpg,2,book,54,34
eval_148.jpg,1,bill_10000,148,68
eval_148.jpg,2,book,75,75
eval_149.jpg,1,bill_10000,148,68
eval_149.jpg,2,book,115,60
eval_150.jpg,1,bill_10000,148,68
eval_150.jpg,2,book,141,71
